"confirmed","deaths","recovered","newcase","date","infection_rate","recovery_rate"
555,17,28,0,2020-01-22,0,0.0504504504504504
654,18,30,99,2020-01-23,0.151376146788991,0.0458715596330275
941,26,36,287,2020-01-24,0.304994686503719,0.0382571732199787
1434,42,39,493,2020-01-25,0.343793584379358,0.0271966527196653
2118,56,52,684,2020-01-26,0.322946175637394,0.0245514636449481
2927,82,61,809,2020-01-27,0.27639221045439,0.0208404509736932
5578,131,107,2651,2020-01-28,0.475259949802797,0.0191825026891359
6166,133,126,588,2020-01-29,0.0953616607200778,0.0204346415828738
8234,171,143,2068,2020-01-30,0.251153752732572,0.017367014816614
9926,213,222,1692,2020-01-31,0.170461414467056,0.0223655047350393
12038,259,284,2112,2020-02-01,0.175444425984383,0.0235919587971424
16787,362,472,4749,2020-02-02,0.282897480193006,0.0281169952939775
19887,426,623,3100,2020-02-03,0.155880726102479,0.0313269975360788
23898,492,852,4011,2020-02-04,0.167838312829525,0.0356515189555611
27643,564,1124,3745,2020-02-05,0.135477336034439,0.0406612885721521
30802,634,1487,3159,2020-02-06,0.10255827543666,0.0482760859684436
34395,719,2011,3593,2020-02-07,0.104462857973543,0.0584678005524059
37129,806,2616,2734,2020-02-08,0.0736351638880659,0.070457055132107
40159,906,3244,3030,2020-02-09,0.0754500859085137,0.0807789038571678
42768,1013,3946,2609,2020-02-10,0.0610035540591096,0.0922652450430228
44810,1113,4683,2042,2020-02-11,0.0455701852265119,0.104507922338764
45228,1118,5150,418,2020-02-12,0.00924206243919696,0.11386751569824
60381,1371,6295,15153,2020-02-13,0.250956426690515,0.104254649641444
66908,1523,8058,6527,2020-02-14,0.0975518622586238,0.120434028815687
69050,1666,9395,2142,2020-02-15,0.031020999275887,0.136060825488776
71234,1770,10865,2184,2020-02-16,0.0306595165230087,0.152525479405902
73269,1868,12583,2035,2020-02-17,0.0277743656935402,0.171737023843645
75151,2008,14352,1882,2020-02-18,0.0250429136006174,0.190975502654655
75651,2123,16121,500,2020-02-19,0.00660929796037065,0.21309698483827
76211,2248,18177,560,2020-02-20,0.00734802062694362,0.238508876671347
76840,2252,18890,629,2020-02-21,0.0081858407079646,0.24583550234253
78601,2459,22886,1761,2020-02-22,0.0224042951107492,0.291166779048613
78981,2470,23394,380,2020-02-23,0.00481128372646586,0.296197819728796
79545,2630,25227,564,2020-02-24,0.0070903262304356,0.31714124080709
80398,2710,27905,853,2020-02-25,0.0106097166596184,0.347085748401702
81375,2771,30384,977,2020-02-26,0.0120061443932412,0.373382488479263
82735,2814,33277,1360,2020-02-27,0.016438025019641,0.40221188130779
84120,2873,36711,1385,2020-02-28,0.0164645744174988,0.436412268188302
