"date","confirmed","deaths","recovered","newcase","infection_rate","recovery_rate","total_flights","commercial_flights","commercial_rate"
2020-02-18,75151,2008,14352,1882,0.0250429136006174,0.190975502654655,174004,101298,0.582159030826878
2020-02-19,75651,2123,16121,500,0.00660929796037065,0.21309698483827,175109,101705,0.580809667121621
2020-02-20,76211,2248,18177,560,0.00734802062694362,0.238508876671347,176087,101882,0.578588992940989
2020-02-21,76840,2252,18890,629,0.0081858407079646,0.24583550234253,176679,101872,0.576593709495752
2020-02-22,78601,2459,22886,1761,0.0224042951107492,0.291166779048613,177533,102030,0.574710053905471
2020-02-23,78981,2470,23394,380,0.00481128372646586,0.296197819728796,178806,102449,0.572961757435433
2020-02-24,79545,2630,25227,564,0.0070903262304356,0.31714124080709,178806,102687,0.574292808966142
2020-02-25,80398,2710,27905,853,0.0106097166596184,0.347085748401702,178842,102799,0.57480345780074
2020-02-26,81375,2771,30384,977,0.0120061443932412,0.373382488479263,177380,102774,0.579400157853197
2020-02-27,82735,2814,33277,1360,0.016438025019641,0.40221188130779,177882,102910,0.578529587029604
2020-02-28,84120,2873,36711,1385,0.0164645744174988,0.436412268188302,177506,102967,0.580076166439444
2020-02-29,86013,2942,39782,1893,0.0220083010707684,0.462511480822666,176346,102957,0.583835187642476
2020-03-01,88395,2996,42716,2382,0.0269472255218055,0.483240002262571,176520,103397,0.585752322682982
2020-03-02,90372,3085,45602,1977,0.021876244854601,0.504603195680078,176363,103761,0.588337689878262
2020-03-03,92957,3160,48228,2585,0.02780855664447,0.518820529922437,176997,104001,0.587586230275089
2020-03-04,95272,3255,51170,2315,0.024298849609539,0.537093794609119,178235,104064,0.583858389205263
2020-03-05,98028,3348,53796,2756,0.0281144162892235,0.548781980658587,178483,104161,0.58359059406218
2020-03-06,102018,3460,55865,3990,0.0391107451626184,0.547599443235507,177692,104086,0.58576638227945
2020-03-07,106036,3559,58359,4018,0.0378927911275416,0.550369685767098,177885,103987,0.584574303623127
2020-03-08,109993,3803,60694,3957,0.0359750165919649,0.551798750829598,178416,103818,0.581887274683885
2020-03-09,113946,3987,62493,3953,0.0346918715882962,0.548443999789374,178796,103299,0.577747824336115
2020-03-10,118967,4267,64404,5021,0.0422049812132776,0.541360209133625,177982,102651,0.576749334202335
2020-03-11,126675,4611,67002,7708,0.0608486283797119,0.528928359976317,177834,102116,0.57422090263954
