order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ02595,2018-12-28,20:00:00,Dinner,NS,"[('Salmon', 6), ('Pasta', 7)]",438.5,-37.8120976,144.9706706,0,7.418,13.2955496
ORDY05662,2018-09-23,16:47:19,Dinner,TP,"[('Pasta', 10), ('Shrimp', 1), ('Salmon', 8), ('Fish&Chips', 5)]",832.0,-37.8059977,144.9559457,0,9.277,14.5917418
ORDY11043,2018-09-05,16:06:45,Dinner,,"[('Shrimp', 1), ('Salmon', 6), ('Pasta', 7), ('Fish&Chips', 6)]",702.5,-37.8152448,144.9276603,0,11.747,15.7314455
ORDC06505,2018-09-25,16:47:19,Dinner,NS,"[('Salmon', 5), ('Fish&Chips', 5), ('Shrimp', 5), ('Pasta', 9)]",897.5,-37.8210485,144.9473608,0,9.834,15.3066513
ORDC03671,2018-03-29,10:52:23,Breakfast,NS,"[('Eggs', 6), ('Cereal', 4), ('Coffee', 8), ('Pancake', 7)]",445.75,-37.8068421,144.9542196,0,8.233,12.8888626
ORDJ04377,2018-10-22,17:48:10,Dinner,TP,"[('Shrimp', 7), ('Salmon', 10), ('Pasta', 6)]",953.0,-37.8207339,144.9669253,0,7.557,11.8267785
ORDI06689,2018-03-21,10:32:06,Breakfast,NS,"[('Coffee', 3), ('Pancake', 8), ('Eggs', 10), ('Cereal', 8)]",604.5,-37.8150344,144.9605564,0,8.311,13.5403398
ORDI04104,2018-03-04,10:01:41,Breakfast,,"[('Eggs', 9), ('Cereal', 6), ('Pancake', 7)]",493.75,-37.8001924,144.9686569,0,6.362,13.3732478
ORDY02417,2018-07-07,14:05:04,Lunch,TP,"[('Salad', 10), ('Fries', 10), ('Chicken', 3), ('Burger', 3)]",481.0,-37.8188564,144.9623989,0,7.758,12.4215087
ORDI04857,2018-09-09,16:16:54,Dinner,NS,"[('Fish&Chips', 6), ('Salmon', 3)]",333.0,-37.7952931,144.9310355,0,11.112,19.0590788
