order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ03067,2018-04-20,11:32:57,Breakfast,NS,"[('Cereal', 7), ('Eggs', 9), ('Pancake', 9)]",563.25,-37.8023282,144.9435265,0,8.776,13.77954
ORDY01809,2018-08-02,15:05:54,Lunch,TP,"[('Steak', 5), ('Chicken', 1), ('Fries', 6), ('Salad', 3), ('Burger', 1)]",411.6,-37.8085482,144.9556474,0,9.024,11.5487024
ORDJ10913,2018-12-30,20:00:00,Dinner,TP,"[('Shrimp', 4), ('Salmon', 6), ('Pasta', 2)]",517.0,-37.7999889,145.0093859,0,12.97,17.9853917
ORDX08510,2018-10-14,17:27:53,Dinner,BK,"[('Shrimp', 1), ('Pasta', 8), ('Salmon', 2)]",356.0,-37.823516,144.9680569,0,8.149,17.2079686
ORDY10039,2018-05-21,12:33:48,Lunch,TP,"[('Steak', 10), ('Chicken', 9), ('Burger', 6), ('Salad', 8)]",1061.6,-37.8069488,144.9451511,0,10.095,13.2205614
ORDI09796,2018-04-21,11:32:57,Breakfast,NS,"[('Coffee', 2), ('Eggs', 2), ('Cereal', 2)]",101.0,-37.8188654,144.9539685,0,9.176,16.6501548
ORDB06976,2018-09-13,16:27:02,Dinner,TP,"[('Pasta', 8), ('Salmon', 7), ('Fish&Chips', 9), ('Shrimp', 8)]",1254.0,-37.8131307,144.9656253,0,8.509,12.6016617
ORDY08644,2018-05-16,12:23:39,Lunch,TP,"[('Steak', 2), ('Chicken', 1), ('Fries', 10), ('Salad', 3)]",293.6,-37.809039,144.9719353,0,9.056,12.3327549
ORDY08763,2018-03-22,10:32:06,Breakfast,TP,"[('Eggs', 8), ('Coffee', 8), ('Cereal', 4)]",320.0,-37.8003489,144.9550214,0,9.828,12.2138623
ORDZ07879,2018-07-04,14:05:04,Lunch,NS,"[('Salad', 10), ('Fries', 8)]",268.0,-37.8034919,144.9665299,0,6.72,12.2972
