ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID936583900,1/21 Herbert St,2,u,730000.0,12/08/2017,1.0,1.0,292.0,19.0,-37.86528,145.11775
ID639338302,29 Stewart St,4,h,2230000.0,4/03/2017,2.0,3.0,851.0,79.0,-37.7637,144.9662
ID867071077,47 Kellett Gr,4,h,2245000.0,27/11/2016,3.0,2.0,627.0,60.0,-37.7915,145.0348
ID837469648,1/119 Melrose Dr,4,h,586000.0,8/07/2017,1.0,3.0,0.0,44.0,-37.70695,144.88513999999995
ID867645514,12 Pleasance St,3,h,1573000.0,17/06/2017,1.0,2.0,670.0,89.0,-37.91855,145.02628
ID220705510,40 Zetland Rd,6,h,2350000.0,12/11/2016,3.0,3.0,2026.0,40.0,-37.8176,145.1117
ID205441607,44 Draper St,2,h,1810000.0,10/12/2016,1.0,0.0,240.0,119.0,-37.8379,144.9539
ID255293260,74 Arthur St,3,h,796000.0,24/06/2017,2.0,2.0,534.0,69.0,-37.69852,145.04836
ID798309297,498 Waterdale Rd,3,h,950000.0,19/11/2016,1.0,2.0,800.0,59.0,-37.7406,145.0483
ID141279127,5/333 George St,3,u,772000.0,10/12/2016,2.0,1.0,203.0,33.0,-37.7776,145.1267
ID481504862,111/18 Bent St,2,u,631090.0,27/06/2016,2.0,1.0,2136.0,7.0,-37.7956,144.935
ID523765134,8 Marwarra St,4,h,910000.0,3/06/2017,1.0,2.0,669.0,54.0,-37.816559999999996,145.24247
ID546158019,299 South Rd,3,h,1590000.0,8/10/2016,3.0,2.0,481.0,7.0,-37.931,145.0198
ID412353159,481 Albion St,4,h,1585000.0,30/07/2016,1.0,2.0,562.0,99.0,-37.7583,144.9428
ID437986939,4 Frederick St,3,h,1170000.0,26/07/2016,1.0,0.0,285.0,129.0,-37.7634,144.9593
ID874449180,2 Gumleaf Ct,3,h,636000.0,8/07/2017,2.0,2.0,585.0,19.0,-37.75777,144.77974
ID434285922,20 Howie St,3,h,1875000.0,13/08/2016,2.0,3.0,607.0,99.0,-37.8534,145.0735
ID246788039,5/50 Barkly St,1,u,350000.0,1/07/2017,1.0,1.0,0.0,49.0,-37.798590000000004,144.97336
ID952572787,15A Riversdale Av,3,h,825000.0,22/07/2017,2.0,1.0,355.0,29.0,-38.07196,145.13036
ID376117659,11 Nottingham St,5,h,1900000.0,16/04/2016,2.0,2.0,566.0,129.0,-37.7893,144.933
ID315973230,12 Strada Cr,4,h,1245000.0,26/08/2017,2.0,2.0,652.0,38.0,-37.90562,145.16761
ID867768342,18 Primula Bvd,4,h,800000.0,26/07/2016,2.0,2.0,719.0,19.0,-37.7062,144.8978
