ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID936583900,1/21 Herbert St,MOUNT WAVERLEY,730000.0,u,12/08/2017,2,1.0,1.0,292.0,19.0,-37.86528,145.11775,19848,3220.6294115364485,30.666666666666668,0,1471.0,7759.666666666667,779.6666666666666,Essex Heights Primary School,315.3930927667825,239,Ashwood High School,1270.180242409544,241
ID639338302,29 Stewart St,BRUNSWICK,2230000.0,h,4/03/2017,4,2.0,3.0,851.0,79.0,-37.7637,144.9662,19967,557.220767244316,27.333333333333332,0,941.3333333333334,5813.0,575.6666666666666,St Margaret Mary's School,592.2989465905631,483,Sydney Road Community School,767.726223135936,447
ID867071077,47 Kellett Gr,KEW,2245000.0,h,27/11/2016,4,3.0,2.0,627.0,60.0,-37.7915,145.0348,19931,1491.925516966768,24.0,0,271.6666666666667,771.6666666666666,74.0,Alphington Primary School,921.367308992262,81,Alphington Grammar School,1238.3054202549554,86
ID837469648,1/119 Melrose Dr,TULLAMARINE,586000.0,h,8/07/2017,4,1.0,3.0,0.0,44.0,-37.70695,144.88513999999995,20032,2838.0643386857514,36.0,0,256.0,511.3333333333333,54.666666666666664,Tullamarine Primary School,720.9428639685892,not ranked,Gladstone Park Secondary College,1960.2415354268728,290
ID867645514,12 Pleasance St,BENTLEIGH,1573000.0,h,17/06/2017,3,1.0,2.0,670.0,89.0,-37.91855,145.02628,19939,949.274894644733,35.15384615384615,1,959.0,4476.666666666667,324.0,Bentleigh West Primary School,230.5317907469585,31,Brighton Secondary College,653.7648143929102,213
ID220705510,40 Zetland Rd,MONT ALBERT,2350000.0,h,12/11/2016,6,3.0,3.0,2026.0,40.0,-37.8176,145.1117,19896,579.379973176508,28.785714285714285,0,278.0,489.0,65.0,Box Hill Senior Secondary College,930.4550953286755,not ranked,Box Hill Senior Secondary College,930.4550953286755,not ranked
ID205441607,44 Draper St,ALBERT PARK,1810000.0,h,10/12/2016,2,1.0,0.0,240.0,119.0,-37.8379,144.9539,20043,2181.3513381028156,0.0,1,1202.0,5034.333333333333,333.0,Galilee Regional Catholic Primary School,209.80250637251126,208,Albert Park College,958.5528897822295,131
ID255293260,74 Arthur St,BUNDOORA,796000.0,h,24/06/2017,3,2.0,2.0,534.0,69.0,-37.69852,145.04836,20008,3238.4332019754806,38.22222222222222,0,684.0,1695.6666666666667,161.0,Norris Bank Primary School,673.3785301200443,not ranked,Northside Christian College,679.1662149599808,162
ID798309297,498 Waterdale Rd,HEIDELBERG HEIGHTS,950000.0,h,19/11/2016,3,1.0,2.0,800.0,59.0,-37.7406,145.0483,19936,1590.7809002791494,31.75,0,1150.6666666666667,7827.0,922.3333333333334,St Pius X School,725.8628808566754,not ranked,East Preston Islamic College,1295.5642851328355,491
ID141279127,5/333 George St,DONCASTER,772000.0,u,10/12/2016,3,2.0,1.0,203.0,33.0,-37.7776,145.1267,20042,4656.342159968843,25.775,0,1566.6666666666667,8895.333333333334,491.0,St Gregory the Great School,512.3165170954807,174,Templestowe College,1196.5057072803609,307
ID481504862,111/18 Bent St,KENSINGTON,631090.0,u,27/06/2016,2,2.0,1.0,2136.0,7.0,-37.7956,144.935,19972,180.42391453519213,17.0,0,271.6666666666667,771.6666666666666,74.0,Holy Rosary School,547.1328397886126,437,St Aloysius College,755.468716794288,170
